Name,Alt Name,Year,Genre,Duration,Moviemeter Rank,Moviemeter Rating
In the Name of the Father, ,1993,"Drama, Biography",133 minutes,77,"3,92"
Green Book, ,2018,"Biography, Comedy",130 minutes,78,"3,92"
Bom Yeoreum Gaeul Gyeoul Geurigo Bom,"Spring, Summer, Fall, Winter... and Spring",2003,Drama,103 minutes,79,"3,92"
It's a Wonderful Life,"Mens, Durf te Leven",1946,"Drama, Romance",130 minutes,80,"3,92"
Double Indemnity,Bloedgeld,1944,"Filmnoir, Crime",107 minutes,81,"3,92"
The Father, ,2020,Drama,97 minutes,82,"3,92"
El Laberinto del Fauno,Pan's Labyrinth,2006,"Fantasy, Drama",118 minutes,83,"3,91"
Casino, ,1995,"Crime, Drama",178 minutes,84,"3,91"
Platoon, ,1986,"War, Drama",120 minutes,85,"3,91"
The Deer Hunter, ,1978,"War, Drama",184 minutes,86,"3,91"
Psycho,Alfred Hitchcock's Psycho,1960,"Horror, Thriller",109 minutes,87,"3,91"
Casablanca, ,1942,"Romance, Drama",102 minutes,88,"3,91"
Hotaru no Haka,Grave of the Fireflies,1988,"Animation, War",89 minutes,89,"3,91"
Memento, ,2000,"Mystery, Thriller",113 minutes,90,"3,90"
The Prestige, ,2006,"Mystery, Drama",130 minutes,91,"3,90"
Gran Torino, ,2008,"Drama, Crime",116 minutes,92,"3,90"
Taxi Driver, ,1976,"Drama, Crime",114 minutes,93,"3,90"
Interstellar, ,2014,"Scifi, Mystery",169 minutes,94,"3,90"
Walk the Line, ,2005,"Music, Biography",136 minutes,95,"3,90"
Carlito's Way, ,1993,"Crime, Drama",145 minutes,96,"3,90"
Vertigo,De Vrouw Die Tweemaal Leefde,1958,"Thriller, Mystery",129 minutes,97,"3,90"
Gisaengchung,Parasite,2019,"Drama, Comedy",132 minutes,98,"3,90"
Per Qualche Dollaro in Più,For a Few Dollars More,1965,Western,132 minutes,99,"3,90"
Sunset Blvd.,Sunset Boulevard,1950,"Drama, Filmnoir",110 minutes,100,"3,90"
Pirates of the Caribbean: The Curse of the Black Pearl, ,2003,"Action, Adventure",143 minutes,101,"3,89"
Hotel Rwanda, ,2004,"Drama, War",121 minutes,102,"3,89"
Mary and Max, ,2009,"Animation, Drama",93 minutes,103,"3,89"
Du Rififi chez les Hommes,Rififi,1955,"Crime, Filmnoir",120 minutes,104,"3,89"
The Butterfly Effect, ,2004,"Scifi, Thriller",113 minutes,105,"3,88"
L.A. Confidential, ,1997,"Crime, Thriller",138 minutes,106,"3,88"
Warrior, ,2011,"Drama, Sport",140 minutes,107,"3,88"
Vozvrashchenie,The Return,2003,"Drama, Mystery",105 minutes,108,"3,88"
Judgment at Nuremberg,Judgement at Nuremberg,1961,"Drama, War",186 minutes,109,"3,88"
Der Kommer en Dag,The Day Will Come,2016,Drama,119 minutes,110,"3,88"
Stop Making Sense, ,1984,Music,88 minutes,111,"3,88"
Suna no Onna,Woman in the Dunes,1964,"Drama, Thriller",123 minutes,112,"3,88"
Saw, ,2004,"Thriller, Horror",103 minutes,113,"3,87"
Shutter Island, ,2010,"Mystery, Thriller",138 minutes,114,"3,87"
The Sixth Sense, ,1999,"Thriller, Mystery",107 minutes,115,"3,87"
Man on Fire, ,2004,"Action, Thriller",146 minutes,116,"3,87"
Eternal Sunshine of the Spotless Mind, ,2004,"Romance, Scifi",108 minutes,117,"3,87"
The Wolf of Wall Street, ,2013,"Biography, Comedy",180 minutes,118,"3,87"
Harry Potter and the Deathly Hallows: Part 2,Harry Potter en de Relieken van de Dood: Deel 2,2011,"Fantasy, Adventure",130 minutes,119,"3,87"
Festen,The Celebration,1998,Drama,105 minutes,120,"3,87"
"Three Billboards Outside Ebbing, Missouri", ,2017,"Crime, Drama",115 minutes,121,"3,87"
Una Giornata Particolare,A Special Day,1977,Drama,106 minutes,122,"3,87"
Witness for the Prosecution, ,1957,"Crime, Drama",116 minutes,123,"3,87"
Capharnaüm,Capernaum,2018,Drama,126 minutes,124,"3,87"
Ikiru,Doomed,1952,Drama,143 minutes,125,"3,87"
A Woman under the Influence,Invloeden op een Vrouw,1974,Drama,155 minutes,126,"3,87"
La Haine,Hate,1995,"Drama, Crime",98 minutes,127,"3,86"
Whiplash, ,2014,"Drama, Music",107 minutes,128,"3,86"
Lion,A Long Way Home,2016,"Biography, Drama",118 minutes,129,"3,86"
"Paris, Texas", ,1984,"Roadmovie, Drama",147 minutes,130,"3,86"
